Group,Element,Action,Value,Strategy,XPath
Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
Documents,Passport,click,,data-testid,"//*[@data-testid=""option-0""]"
Documents,Select File,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
Documents,upload-front-input,Input,C:\fakepath\AVINASH_PASS.png,id,"//*[@id=""upload-front-input""]"
Documents,Data Extracted Successfully,click,,role,"//*[@role=""alert""]"
Documents,path,click,,absolute,/html/body/div[2]/div[1]/div[1]/button[1]/svg[1]/path[1]
Documents,Reset Form,click,,data-testid,"//*[@data-testid=""reset-form-button""]"
Documents,Continue,click,,data-testid,"//*[@data-testid=""continue-button""]"
Documents,Please select a document type ,click,,absolute,/html/body/div[2]/div[1]/div[1]/div[1]/div[2]
Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
Documents,Passport,click,,data-testid,"//*[@data-testid=""option-0""]"
Documents,Select File,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
Documents,upload-front-input,Input,C:\fakepath\AVINASH_PASS.png,id,"//*[@id=""upload-front-input""]"
Documents,Data Extracted Successfully,click,,role,"//*[@role=""alert""]"
Documents,Continue,click,,data-testid,"//*[@data-testid=""continue-button""]"
Documents,Continue,click,,data-testid,"//*[@data-testid=""continue-button""]"
Documents,Please select a document type ,click,,absolute,/html/body/div[2]/div[1]/div[1]/div[1]/div[2]
Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
Documents,National Identification Card,click,,data-testid,"//*[@data-testid=""option-1""]"
Documents,Upload Front of ID,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
Documents,upload-front-input,Input,C:\fakepath\DAVID_N_F.png,id,"//*[@id=""upload-front-input""]"
Documents,Upload Back of ID,click,,data-testid,"//*[@data-testid=""file-upload-back-label""]"
Documents,upload-back-input,click,,id,"//*[@id=""upload-back-input""]"
Documents,upload-back-input,Input,C:\fakepath\DAVID_N_B (1).png,id,"//*[@id=""upload-back-input""]"
Documents,Data Extracted Successfully,click,,role,"//*[@role=""alert""]"
Documents,Continue,click,,data-testid,"//*[@data-testid=""continue-button""]"
Documents,Save and Continue,click,,data-testid,"//*[@data-testid=""save-and-continue-button""]"
Documents,9,click,,id,"//*[@id=""9""]"
Documents,Choose an option,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/button[1]
Documents,FLOW BILL,click,,data-testid,"//*[@data-testid=""option-0""]"
Documents,Select File,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
Documents,upload-front-input,Input,C:\fakepath\FlowBill.jpg,id,"//*[@id=""upload-front-input""]"
Documents,mailingCity,click,,id,"//*[@id=""mailingCity""]"
Documents,mailingCity,Input,TRINCITY,id,"//*[@id=""mailingCity""]"
Documents,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/div[1]/div[1]
Documents,permanentAddressSameAsMailing,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1]
Documents,permanentAddressSameAsMailing,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1]
Documents,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/div[1]/div[1]
Documents,utilityDocOption,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1]
Documents,utilityDocOption,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1]
Documents,Save and Continue,click,,data-testid,"//*[@data-testid=""save-and-continue-button""]"
Documents,Documents Uploaded Successfull,click,,absolute,/html/body/div[2]/div[1]/div[1]/div[1]/div[2]
