,Group,Element,Action,Value,Strategy,XPath
0,Personal Info,email,click,,id,"//*[@id=""email""]"
1,Personal Info,email,Input,P12@GMAIL.COM,id,"//*[@id=""email""]"
2,Personal Info,middleName,click,,id,"//*[@id=""middleName""]"
3,Personal Info,middleName,Input,M,id,"//*[@id=""middleName""]"
4,Personal Info,mobileNumber,click,,id,"//*[@id=""mobileNumber""]"
5,Personal Info,mobileNumber,Input,234-3234,id,"//*[@id=""mobileNumber""]"
6,Personal Info,lastName,click,,id,"//*[@id=""lastName""]"
7,Personal Info,lastName,Input,CHAN,id,"//*[@id=""lastName""]"
8,Personal Info,Select Branch,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
9,Personal Info,100 - TECU - MARABELLA BRANCH,click,,data-testid,"//*[@data-testid=""option-0""]"
10,Personal Info,Add profile picture,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]"
11,Personal Info,Upload,click,,data-testid,"//*[@data-testid=""upload-button""]"
12,Personal Info,file-upload,click,,id,"//*[@id=""file-upload""]"
13,Personal Info,file-upload,Input,C:\fakepath\Screenshot 2026-01-27 at 1.02.56 PM.png,id,"//*[@id=""file-upload""]"
14,Personal Info,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
15,Personal Info,Please fill in the required fi,click,,absolute,/html/body/div[2]/div[1]/div[1]/div[1]/div[2]
16,Personal Info,firstName,click,,id,"//*[@id=""firstName""]"
17,Personal Info,firstName,Input,PRAKYATH,id,"//*[@id=""firstName""]"
18,Personal Info,email,click,,id,"//*[@id=""email""]"
19,Personal Info,email,Input,P12GMAIL.COM,id,"//*[@id=""email""]"
20,Personal Info,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
21,Personal Info,Please enter valid email,click,,role,"//*[@role=""alert""]"
22,Personal Info,email,click,,id,"//*[@id=""email""]"
23,Personal Info,email,Input,P12@GMAIL.COM,id,"//*[@id=""email""]"
24,Personal Info,mobileNumber,click,,id,"//*[@id=""mobileNumber""]"
25,Personal Info,mobileNumber,Input,,id,"//*[@id=""mobileNumber""]"
26,Personal Info,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
27,Personal Info,Please fill in the required fi,click,,role,"//*[@role=""alert""]"
28,Personal Info,mobileNumber,click,,id,"//*[@id=""mobileNumber""]"
29,Personal Info,mobileNumber,Input,345-3667,id,"//*[@id=""mobileNumber""]"
30,Personal Info,100 - TECU - MARABELLA BRANCH,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
31,Personal Info,Search...,click,,data-testid,"//*[@data-testid=""search-input""]"
32,Personal Info,Search...,Input,0,data-testid,"//*[@data-testid=""search-input""]"
33,Personal Info,Search...,Input,,data-testid,"//*[@data-testid=""search-input""]"
34,Personal Info,100 - TECU - MARABELLA BRANCH,click,,data-testid,"//*[@data-testid=""option-0""]"
35,Personal Info,Re-upload,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Re-upload"")]"
36,Personal Info,Upload,click,,data-testid,"//*[@data-testid=""upload-button""]"
37,Personal Info,file-upload,click,,id,"//*[@id=""file-upload""]"
