,Group,Element,Action,Value,Strategy,XPath
0,Contact Info,firstName,click,,id,"//*[@id=""firstName""]"
1,Contact Info,firstName,Input,PRAKYATH,id,"//*[@id=""firstName""]"
2,Contact Info,email,click,,id,"//*[@id=""email""]"
3,Contact Info,email,Input,PRAK@GMAIL.COM,id,"//*[@id=""email""]"
4,Contact Info,middleName,click,,id,"//*[@id=""middleName""]"
5,Contact Info,middleName,Input,M,id,"//*[@id=""middleName""]"
6,Contact Info,mobileNumber,click,,id,"//*[@id=""mobileNumber""]"
7,Contact Info,mobileNumber,Input,234-5432,id,"//*[@id=""mobileNumber""]"
8,Contact Info,lastName,click,,id,"//*[@id=""lastName""]"
9,Contact Info,lastName,Input,CHAN,id,"//*[@id=""lastName""]"
10,Contact Info,Select Branch,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
11,Contact Info,100 - TECU - MARABELLA BRANCH,click,,data-testid,"//*[@data-testid=""option-0""]"
12,Contact Info,Add profile picture,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]"
13,Contact Info,Upload,click,,data-testid,"//*[@data-testid=""upload-button""]"
14,Contact Info,file-upload,click,,id,"//*[@id=""file-upload""]"
15,Contact Info,file-upload,Input,C:\fakepath\Screenshot 2026-01-27 at 1.02.56 PM.png,id,"//*[@id=""file-upload""]"
16,Contact Info,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
17,Contact Info,otp-input-0,click,,id,"//*[@id=""otp-input-0""]"
18,Contact Info,otp-input-0,Input,1,id,"//*[@id=""otp-input-0""]"
19,Contact Info,otp-input-1,Input,2,id,"//*[@id=""otp-input-1""]"
20,Contact Info,otp-input-2,Input,1,id,"//*[@id=""otp-input-2""]"
21,Contact Info,otp-input-3,Input,2,id,"//*[@id=""otp-input-3""]"
22,Contact Info,otp-input-4,Input,1,id,"//*[@id=""otp-input-4""]"
23,Contact Info,otp-input-5,Input,2,id,"//*[@id=""otp-input-5""]"
24,Contact Info,Verify OTP,click,,data-testid,"//*[@data-testid=""submit-button""]"
25,Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
26,Documents,Passport,click,,data-testid,"//*[@data-testid=""option-0""]"
27,Documents,Select File,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
28,Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
29,Documents,upload-front-input,Input,C:\fakepath\AVINASH_PASS.png,id,"//*[@id=""upload-front-input""]"
30,Documents,Continue,click,,data-testid,"//*[@data-testid=""continue-button""]"
31,Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
32,Documents,National Identification Card,click,,data-testid,"//*[@data-testid=""option-1""]"
33,Documents,Upload Front of ID,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
34,Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
35,Documents,upload-front-input,Input,C:\fakepath\DAVID_N_F.png,id,"//*[@id=""upload-front-input""]"
36,Documents,Upload Back of ID,click,,data-testid,"//*[@data-testid=""file-upload-back-label""]"
37,Documents,upload-back-input,click,,id,"//*[@id=""upload-back-input""]"
38,Documents,upload-back-input,Input,C:\fakepath\DAVID_N_B.png,id,"//*[@id=""upload-back-input""]"
39,Documents,Continue,click,,data-testid,"//*[@data-testid=""continue-button""]"
40,Documents,Choose an option,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/button[1]
41,Documents,FLOW BILL,click,,data-testid,"//*[@data-testid=""option-0""]"
42,Documents,Select File,click,,data-testid,"//*[@data-testid=""file-upload-label""]"
43,Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
44,Documents,upload-front-input,Input,C:\fakepath\FlowBill.jpg,id,"//*[@id=""upload-front-input""]"
45,Documents,mailingCity,click,,id,"//*[@id=""mailingCity""]"
46,Documents,mailingCity,Input,TRINCITY,id,"//*[@id=""mailingCity""]"
47,Documents,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/div[1]/div[1]
48,Documents,permanentAddressSameAsMailing,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1]
49,Documents,permanentAddressSameAsMailing,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1]
50,Documents,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/div[1]/div[1]
51,Documents,permanentAddressSameAsMailing,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/input[1]
52,Documents,permanentAddressSameAsMailing,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[2]/input[1]
53,Documents,permanentAddressLine1,click,,id,"//*[@id=""permanentAddressLine1""]"
54,Documents,permanentAddressLine1,Input,7 NORTHAM ROAD,id,"//*[@id=""permanentAddressLine1""]"
55,Documents,permanentAddressLine2,click,,id,"//*[@id=""permanentAddressLine2""]"
56,Documents,permanentAddressLine2,Input,BERKLEY ST,id,"//*[@id=""permanentAddressLine2""]"
57,Documents,permanentCity,click,,id,"//*[@id=""permanentCity""]"
58,Documents,permanentCity,Input,TRINCITY,id,"//*[@id=""permanentCity""]"
59,Documents,Choose Country,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose Country"")]"
60,Documents,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
61,Documents,permanentZipCode,click,,id,"//*[@id=""permanentZipCode""]"
62,Documents,permanentZipCode,Input,57121888,id,"//*[@id=""permanentZipCode""]"
63,Documents,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[4]/div[2]/div[1]/label[1]/div[1]
64,Documents,utilityDocOption,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[4]/div[2]/div[1]/label[1]/input[1]
65,Documents,utilityDocOption,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[4]/div[2]/div[1]/label[1]/input[1]
66,Documents,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[4]/div[2]/div[1]/label[2]/div[1]/div[1]
67,Documents,utilityDocOption,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[4]/div[2]/div[1]/label[2]/input[1]
68,Documents,utilityDocOption,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[4]/div[2]/div[1]/label[2]/input[1]
69,Documents,Select File,click,,class,"//label[contains(@class, ""gap-2"")]"
70,Documents,upload-authorization,click,,id,"//*[@id=""upload-authorization""]"
71,Documents,upload-authorization,Input,C:\fakepath\FlowBill.jpg,id,"//*[@id=""upload-authorization""]"
